id,legislativeSubject,policyArea
hr424,Supreme Court,
hr424,,Law
hr4240,Child safety and welfare,
hr4240,Drug therapy,
hr4240,"Drug, alcohol, tobacco use",
hr4240,Elementary and secondary education,
hr4240,School administration,
hr4240,,Education
hr4241,Animal protection and human-animal relationships,
hr4241,Civil actions and liability,
hr4241,Mammals,
hr4241,Motor carriers,
hr4241,Motor vehicles,
hr4241,Transportation safety and security,
hr4241,,Transportation and Public Works
hr4242,Administrative law and regulatory procedures,
hr4242,Alternative treatments,
hr4242,Department of Health and Human Services,
hr4242,Drug therapy,
hr4242,"Drug, alcohol, tobacco use",
hr4242,Medical research,
hr4242,,Health
hr4243,Administrative law and regulatory procedures,
hr4243,Consumer Product Safety Commission,
hr4243,Firearms and explosives,
hr4243,Product safety and quality,
hr4243,,Commerce
hr4244,,Education
hr4245,,Economics and Public Finance
hr4246,,Crime and Law Enforcement
hr4247,Advisory bodies,
hr4247,California,
hr4247,Community life and organization,
hr4247,Congressional oversight,
hr4247,"Environmental assessment, monitoring, research",
hr4247,Floods and storm protection,
hr4247,Water storage,
hr4247,Water use and supply,
hr4247,,Water Resources Development
hr4248,Agricultural conservation and pollution,
hr4248,Agricultural education,
hr4248,Agricultural practices and innovations,
hr4248,Climate change and greenhouse gases,
hr4248,Farmland,
hr4248,"Forests, forestry, trees",
hr4248,Illinois,
hr4248,Iowa,
hr4248,Livestock,
hr4248,Minnesota,
hr4248,Public-private cooperation,
hr4248,Water use and supply,
hr4248,"Wilderness and natural areas, wildlife refuges, wild rivers, habitats",
hr4248,Wildlife conservation and habitat protection,
hr4248,Wisconsin,
hr4248,,Agriculture and Food
hr4249,Cancer,
hr4249,Cardiovascular and respiratory health,
hr4249,Congressional oversight,
hr4249,Digestive and metabolic diseases,
hr4249,Disability and paralysis,
hr4249,Hazardous wastes and toxic substances,
hr4249,Hospital care,
hr4249,Military facilities and property,
hr4249,Military personnel and dependents,
hr4249,National Guard and reserves,
hr4249,Veterans' medical care,
hr4249,Veterans' pensions and compensation,
hr4249,,Armed Forces and National Security
hr425,Civil actions and liability,
hr425,First Amendment rights,
hr425,Government liability,
hr425,Legal fees and court costs,
hr425,Religion,
hr425,State and local government operations,
hr425,,"Civil Rights and Liberties, Minority Issues"
hr4250,Computers and information technology,
hr4250,"Criminal investigation, prosecution, interrogation",
hr4250,Evidence and witnesses,
hr4250,"Internet, web applications, social media",
hr4250,News media and reporting,
hr4250,Telephone and wireless communication,
hr4250,,"Science, Technology, Communications"
hr4251,Congressional oversight,
hr4251,"Diplomacy, foreign officials, Americans abroad",
hr4251,"Elections, voting, political campaign regulation",
hr4251,Government studies and investigations,
hr4251,Military personnel and dependents,
hr4251,Voting rights,
hr4251,,Government Operations and Politics
hr4252,,Education
hr4253,Congressional tributes,
hr4253,"Government buildings, facilities, and property",
hr4253,Postal service,
hr4253,South Carolina,
hr4253,,Government Operations and Politics
hr4254,,International Affairs
hr4255,,International Affairs
hr4256,,Education
hr4257,,Taxation
hr4258,Adoption and foster care,
hr4258,Family relationships,
hr4258,Income tax credits,
hr4258,Tax treatment of families,
hr4258,,Taxation
hr4259,Disability assistance,
hr4259,Special education,
hr4259,"Teaching, teachers, curricula",
hr4259,,Education
hr426,,Taxation
hr4260,,Social Welfare
hr4261,Cardiovascular and respiratory health,
hr4261,Digestive and metabolic diseases,
hr4261,Education programs funding,
hr4261,Employee benefits and pensions,
hr4261,Health care costs and insurance,
hr4261,Health care coverage and access,
hr4261,Health care quality,
hr4261,Health programs administration and funding,
hr4261,Health promotion and preventive care,
hr4261,"Health technology, devices, supplies",
hr4261,Home and outpatient care,
hr4261,Hospital care,
hr4261,Insurance industry and regulation,
hr4261,Medicaid,
hr4261,Medical tests and diagnostic methods,
hr4261,Medicare,
hr4261,Surgery and anesthesia,
hr4261,,Health
hr4262,,Armed Forces and National Security
hr4263,Consumer affairs,
hr4263,"Drug safety, medical device, and laboratory regulation",
hr4263,Grain,
hr4263,Nutrition and diet,
hr4263,Prescription drugs,
hr4263,,Agriculture and Food
hr4264,,Armed Forces and National Security
hr4265,,Armed Forces and National Security
hr4266,Civil actions and liability,
hr4266,Federal Trade Commission (FTC),
hr4266,,Commerce
hr4267,Accounting and auditing,
hr4267,Administrative law and regulatory procedures,
hr4267,Advisory bodies,
hr4267,Afghanistan,
hr4267,Africa,
hr4267,Agricultural trade,
hr4267,Area studies and international education,
hr4267,Asia,
hr4267,Assault and harassment offenses,
hr4267,Aviation and airports,
hr4267,"Bank accounts, deposits, capital",
hr4267,Border security and unlawful immigration,
hr4267,"Broadcasting, cable, digital technologies",
hr4267,Business records,
hr4267,Canada,
hr4267,Chemical and biological weapons,
hr4267,Civil actions and liability,
hr4267,Commodities markets,
hr4267,"Competitiveness, trade promotion, trade deficits",
hr4267,Computer security and identity theft,
hr4267,Computers and information technology,
hr4267,Congressional oversight,
hr4267,Consumer credit,
hr4267,Correctional facilities and imprisonment,
hr4267,Credit and credit markets,
hr4267,Crime prevention,
hr4267,Crime victims,
hr4267,Crimes against property,
hr4267,"Criminal investigation, prosecution, interrogation",
hr4267,Criminal justice information and records,
hr4267,Criminal procedure and sentencing,
hr4267,Currency,
hr4267,Customs enforcement,
hr4267,Department of Defense,
hr4267,Department of Justice,
hr4267,Department of State,
hr4267,Department of the Treasury,
hr4267,Detention of persons,
hr4267,"Diplomacy, foreign officials, Americans abroad",
hr4267,Disability and paralysis,
hr4267,Disability assistance,
hr4267,District of Columbia,
hr4267,"Drug safety, medical device, and laboratory regulation",
hr4267,Drug trafficking and controlled substances,
hr4267,"Drug, alcohol, tobacco use",
hr4267,Due process and equal protection,
hr4267,Elementary and secondary education,
hr4267,Emergency communications systems,
hr4267,Emergency medical services and trauma care,
hr4267,Employee hiring,
hr4267,Employment and training programs,
hr4267,Employment discrimination and employee rights,
hr4267,Espionage and treason,
hr4267,Europe,
hr4267,Executive agency funding and structure,
hr4267,Family relationships,
hr4267,Federal Bureau of Investigation (FBI),
hr4267,Federal Reserve System,
hr4267,Federal appellate courts,
hr4267,Federal district courts,
hr4267,Federal officials,
hr4267,Financial services and investments,
hr4267,Firearms and explosives,
hr4267,Fires,
hr4267,First Amendment rights,
hr4267,First responders and emergency personnel,
hr4267,"Food supply, safety, and labeling",
hr4267,Foreign and international banking,
hr4267,Foreign labor,
hr4267,Foreign loans and debt,
hr4267,Fraud offenses and financial crimes,
hr4267,"Government buildings, facilities, and property",
hr4267,"Government employee pay, benefits, personnel management",
hr4267,"Government ethics and transparency, public corruption",
hr4267,Government information and archives,
hr4267,Government studies and investigations,
hr4267,Government trust funds,
hr4267,Hazardous wastes and toxic substances,
hr4267,Health facilities and institutions,
hr4267,"Health technology, devices, supplies",
hr4267,Higher education,
hr4267,Hospital care,
hr4267,Immunology and vaccination,
hr4267,Infectious and parasitic diseases,
hr4267,Infrastructure development,
hr4267,"Intelligence activities, surveillance, classified information",
hr4267,Intergovernmental relations,
hr4267,International law and treaties,
hr4267,International monetary system and foreign exchange,
hr4267,"Internet, web applications, social media",
hr4267,Judges,
hr4267,Judicial procedure and administration,
hr4267,Judicial review and appeals,
hr4267,Law enforcement administration and funding,
hr4267,Law enforcement officers,
hr4267,Legal fees and court costs,
hr4267,Legislative rules and procedure,
hr4267,Licensing and registrations,
hr4267,"Marine and coastal resources, fisheries",
hr4267,Medical research,
hr4267,Mental health,
hr4267,Middle East,
hr4267,"Military assistance, sales, and agreements",
hr4267,Military facilities and property,
hr4267,Motor carriers,
hr4267,Multilateral development programs,
hr4267,New York City,
hr4267,New York State,
hr4267,North America,
hr4267,North Korea,
hr4267,Nuclear power,
hr4267,Nuclear weapons,
hr4267,Oil and gas,
hr4267,Organized crime,
hr4267,Pennsylvania,
hr4267,Personnel records,
hr4267,Pipelines,
hr4267,Prescription drugs,
hr4267,"Presidents and presidential powers, Vice Presidents",
hr4267,Protection of officials,
hr4267,Protest and dissent,
hr4267,Public transit,
hr4267,Public-private cooperation,
hr4267,Puerto Rico,
hr4267,Racial and ethnic relations,
hr4267,Railroads,
hr4267,Religion,
hr4267,Research administration and funding,
hr4267,Right of privacy,
hr4267,Sanctions,
hr4267,Securities,
hr4267,Smuggling and trafficking,
hr4267,"Social work, volunteer service, charitable organizations",
hr4267,South Asia,
hr4267,Specialized courts,
hr4267,State and local government operations,
hr4267,Student records,
hr4267,Subversive activities,
hr4267,Syria,
hr4267,"Tax administration and collection, taxpayers",
hr4267,Telephone and wireless communication,
hr4267,Terrorism,
hr4267,Trade restrictions,
hr4267,Transportation employees,
hr4267,Transportation safety and security,
hr4267,Turkey,
hr4267,U.S. territories and protectorates,
hr4267,Unemployment,
hr4267,Veterans' pensions and compensation,
hr4267,Violent crime,
hr4267,Virgin Islands,
hr4267,Visas and passports,
hr4267,Vocational and technical education,
hr4267,War and emergency powers,
hr4267,,Armed Forces and National Security
hr4268,Abortion,
hr4268,Congressional oversight,
hr4268,Federal preemption,
hr4268,Intergovernmental relations,
hr4268,Transportation costs,
hr4268,Travel and tourism,
hr4268,,Health
hr4269,,Labor and Employment
hr427,Abortion,
hr427,"Drug safety, medical device, and laboratory regulation",
hr427,Health information and medical records,
hr427,Health personnel,
hr427,"Health technology, devices, supplies",
hr427,Marketing and advertising,
hr427,Prescription drugs,
hr427,,Health
hr4270,Animal and plant health,
hr4270,Architecture,
hr4270,Building construction,
hr4270,Education of the disadvantaged,
hr4270,Education programs funding,
hr4270,Educational facilities and institutions,
hr4270,Elementary and secondary education,
hr4270,Employee hiring,
hr4270,Employment and training programs,
hr4270,Energy efficiency and conservation,
hr4270,Environmental education,
hr4270,Environmental technology,
hr4270,Horticulture and plants,
hr4270,Licensing and registrations,
hr4270,,Energy
hr4271,,Foreign Trade and International Finance
hr4272,Civil actions and liability,
hr4272,Criminal procedure and sentencing,
hr4272,Drug trafficking and controlled substances,
hr4272,"Drug, alcohol, tobacco use",
hr4272,Elementary and secondary education,
hr4272,Health promotion and preventive care,
hr4272,Higher education,
hr4272,Intergovernmental relations,
hr4272,Law enforcement administration and funding,
hr4272,Medical research,
hr4272,Smuggling and trafficking,
hr4272,,Crime and Law Enforcement
hr4273,,"Arts, Culture, Religion"
hr4274,Census and government statistics,
hr4274,Congressional oversight,
hr4274,Employment and training programs,
hr4274,First responders and emergency personnel,
hr4274,Government information and archives,
hr4274,Health personnel,
hr4274,Health programs administration and funding,
hr4274,Health promotion and preventive care,
hr4274,Medical tests and diagnostic methods,
hr4274,Mental health,
hr4274,"Social work, volunteer service, charitable organizations",
hr4274,Tax-exempt organizations,
hr4274,Worker safety and health,
hr4274,,Health
hr4275,Health information and medical records,
hr4275,Medical education,
hr4275,Medical research,
hr4275,Organ and tissue donation and transplantation,
hr4275,,Health
hr4276,,Foreign Trade and International Finance
hr4277,Administrative law and regulatory procedures,
hr4277,Animal and plant health,
hr4277,Animal protection and human-animal relationships,
hr4277,Biological and life sciences,
hr4277,Environmental Protection Agency (EPA),
hr4277,Environmental regulatory procedures,
hr4277,Hazardous wastes and toxic substances,
hr4277,Insects,
hr4277,Pest management,
hr4277,,Environmental Protection
hr4278,Congressional oversight,
hr4278,Department of Veterans Affairs,
hr4278,Employee performance,
hr4278,Employment discrimination and employee rights,
hr4278,"Government employee pay, benefits, personnel management",
hr4278,Government studies and investigations,
hr4278,Judicial review and appeals,
hr4278,Veterans' medical care,
hr4278,,Armed Forces and National Security
hr4279,Advisory bodies,
hr4279,Congressional operations and organization,
hr4279,Economic performance and conditions,
hr4279,"Environmental assessment, monitoring, research",
hr4279,Government studies and investigations,
hr4279,Homeland security,
hr4279,Intellectual property,
hr4279,Manufacturing,
hr4279,"Military procurement, research, weapons development",
hr4279,Natural disasters,
hr4279,Strategic materials and reserves,
hr4279,Transportation costs,
hr4279,,Commerce
hr428,Abortion,
hr428,Solid waste and recycling,
hr428,,Crime and Law Enforcement
hr4280,,Taxation
hr4281,Abortion,
hr4281,Community life and organization,
hr4281,Congressional oversight,
hr4281,Executive agency funding and structure,
hr4281,Government information and archives,
hr4281,Health care coverage and access,
hr4281,Sex and reproductive health,
hr4281,"Social work, volunteer service, charitable organizations",
hr4281,,Health
hr4282,,Families
hr4283,Crime prevention,
hr4283,Criminal justice information and records,
hr4283,Firearms and explosives,
hr4283,Government trust funds,
hr4283,Hate crimes,
hr4283,Inflation and prices,
hr4283,Sales and excise taxes,
hr4283,Violent crime,
hr4283,,Taxation
hr4284,,Energy
hr4285,,Immigration
hr4286,Cancer,
hr4286,Cardiovascular and respiratory health,
hr4286,Congressional oversight,
hr4286,Drug therapy,
hr4286,"Drug, alcohol, tobacco use",
hr4286,Government studies and investigations,
hr4286,Health care costs and insurance,
hr4286,Health care coverage and access,
hr4286,Health information and medical records,
hr4286,Health promotion and preventive care,
hr4286,Intergovernmental relations,
hr4286,Medicaid,
hr4286,Medical tests and diagnostic methods,
hr4286,Medicare,
hr4286,Mental health,
hr4286,State and local government operations,
hr4286,,Health
hr4287,,Congress
hr4288,Consumer affairs,
hr4288,Environmental regulatory procedures,
hr4288,Federal preemption,
hr4288,Hazardous wastes and toxic substances,
hr4288,Pest management,
hr4288,State and local government operations,
hr4288,,Environmental Protection
hr4289,,Crime and Law Enforcement
hr429,,Taxation
hr4290,Agricultural conservation and pollution,
hr4290,Agricultural insurance,
hr4290,Agricultural practices and innovations,
hr4290,Congressional oversight,
hr4290,Disaster relief and insurance,
hr4290,Floods and storm protection,
hr4290,Infrastructure development,
hr4290,Water use and supply,
hr4290,,Agriculture and Food
hr4291,,Government Operations and Politics
hr4292,Congressional tributes,
hr4292,"Government buildings, facilities, and property",
hr4292,Postal service,
hr4292,South Carolina,
hr4292,,Government Operations and Politics
hr4293,,International Affairs
hr4294,,Government Operations and Politics
hr4295,,Emergency Management
hr4296,,Environmental Protection
hr4297,Colorado,
hr4297,Lakes and rivers,
hr4297,Water storage,
hr4297,Water use and supply,
hr4297,,Public Lands and Natural Resources
hr4298,,Education
hr4299,,Government Operations and Politics
hr43,Administrative law and regulatory procedures,
hr43,Atmospheric science and weather,
hr43,Federal Communications Commission (FCC),
hr43,Government trust funds,
hr43,"Internet, web applications, social media",
hr43,Rural conditions and development,
hr43,Telephone and wireless communication,
hr43,,"Science, Technology, Communications"
hr430,Asia,
hr430,Commemorative events and holidays,
hr430,,"Arts, Culture, Religion"
hr4300,Air quality,
hr4300,Climate change and greenhouse gases,
hr4300,Disaster relief and insurance,
hr4300,Emergency medical services and trauma care,
hr4300,Infectious and parasitic diseases,
hr4300,"Presidents and presidential powers, Vice Presidents",
hr4300,War and emergency powers,
hr4300,,Emergency Management
hr4301,,Energy
hr4302,Air quality,
hr4302,Alternative and renewable resources,
hr4302,Climate change and greenhouse gases,
hr4302,Coal,
hr4302,Congressional oversight,
hr4302,Ecology,
hr4302,Energy efficiency and conservation,
hr4302,"Forests, forestry, trees",
hr4302,Government information and archives,
hr4302,Land use and conservation,
hr4302,Licensing and registrations,
hr4302,Mining,
hr4302,Oil and gas,
hr4302,Water use and supply,
hr4302,,Public Lands and Natural Resources
hr4303,Abortion,
hr4303,Administrative law and regulatory procedures,
hr4303,Civil actions and liability,
hr4303,Department of Health and Human Services,
hr4303,Detention of persons,
hr4303,"Government employee pay, benefits, personnel management",
hr4303,Health care costs and insurance,
hr4303,Health care coverage and access,
hr4303,Health information and medical records,
hr4303,Health programs administration and funding,
hr4303,Higher education,
hr4303,Immigrant health and welfare,
hr4303,Immigration status and procedures,
hr4303,Indian social and development programs,
hr4303,Medicaid,
hr4303,Medicare,
hr4303,Military medicine,
hr4303,National and community service,
hr4303,Poverty and welfare assistance,
hr4303,"Refugees, asylum, displaced persons",
hr4303,Right of privacy,
hr4303,Sex and reproductive health,
hr4303,State and local government operations,
hr4303,Veterans' medical care,
hr4303,,Health
hr4304,Administrative law and regulatory procedures,
hr4304,Congressional oversight,
hr4304,Department of Health and Human Services,
hr4304,Digestive and metabolic diseases,
hr4304,Organ and tissue donation and transplantation,
hr4304,,Health
hr4305,,Taxation
hr4306,Blood and blood diseases,
hr4306,Cancer,
hr4306,Cardiovascular and respiratory health,
hr4306,Fires,
hr4306,First responders and emergency personnel,
hr4306,Veterans' medical care,
hr4306,,Armed Forces and National Security
hr4307,,Foreign Trade and International Finance
hr4308,Agricultural conservation and pollution,
hr4308,Agricultural insurance,
hr4308,Agricultural research,
hr4308,Alcoholic beverages,
hr4308,California,
hr4308,Fires,
hr4308,Fruit and vegetables,
hr4308,Oregon,
hr4308,Public contracts and procurement,
hr4308,Research and development,
hr4308,,Agriculture and Food
hr4309,,Immigration
hr431,Abortion,
hr431,Constitution and constitutional amendments,
hr431,Genetics,
hr431,,"Civil Rights and Liberties, Minority Issues"
hr4310,Child safety and welfare,
hr4310,Consumer affairs,
hr4310,Hazardous wastes and toxic substances,
hr4310,Product safety and quality,
hr4310,Retail and wholesale trades,
hr4310,,Commerce
hr4311,Accounting and auditing,
hr4311,Administrative law and regulatory procedures,
hr4311,Business records,
hr4311,Consumer affairs,
hr4311,Federal Trade Commission (FTC),
hr4311,Federal preemption,
hr4311,Government information and archives,
hr4311,Government studies and investigations,
hr4311,"Internet, web applications, social media",
hr4311,Licensing and registrations,
hr4311,Marketing and advertising,
hr4311,Right of privacy,
hr4311,User charges and fees,
hr4311,,Commerce
hr4312,,International Affairs
hr4313,Congressional oversight,
hr4313,Employee hiring,
hr4313,Employment and training programs,
hr4313,Government information and archives,
hr4313,Health promotion and preventive care,
hr4313,Outdoor recreation,
hr4313,"Social work, volunteer service, charitable organizations",
hr4313,Sports and recreation facilities,
hr4313,State and local government operations,
hr4313,,Commerce
hr4314,,Housing and Community Development
hr4315,Health care coverage and access,
hr4315,Health personnel,
hr4315,"Health technology, devices, supplies",
hr4315,Medicare,
hr4315,,Health
hr4316,Citizenship and naturalization,
hr4316,"Elections, voting, political campaign regulation",
hr4316,Immigration status and procedures,
hr4316,Licensing and registrations,
hr4316,State and local government operations,
hr4316,Voting rights,
hr4316,,Government Operations and Politics
hr4317,,Government Operations and Politics
hr4318,,Government Operations and Politics
hr4319,,Immigration
hr432,,Energy
hr4320,,Labor and Employment
hr4321,,Government Operations and Politics
hr4322,,Taxation
hr4323,Animal protection and human-animal relationships,
hr4323,Atlantic Coast (U.S.),
hr4323,Atlantic Ocean,
hr4323,Endangered and threatened species,
hr4323,"Environmental assessment, monitoring, research",
hr4323,Mammals,
hr4323,"Navigation, waterways, harbors",
hr4323,Wildlife conservation and habitat protection,
hr4323,,Animals
hr4324,Administrative law and regulatory procedures,
hr4324,Civil actions and liability,
hr4324,Federal Trade Commission (FTC),
hr4324,,Commerce
hr4325,,Armed Forces and National Security
hr4326,,Taxation
hr4327,Agricultural conservation and pollution,
hr4327,Agricultural practices and innovations,
hr4327,Climate change and greenhouse gases,
hr4327,Farmland,
hr4327,Livestock,
hr4327,Mammals,
hr4327,,Agriculture and Food
hr4328,Advisory bodies,
hr4328,Congressional oversight,
hr4328,Department of Health and Human Services,
hr4328,Executive agency funding and structure,
hr4328,Government information and archives,
hr4328,Health personnel,
hr4328,Labor market,
hr4328,Nursing,
hr4328,,Health
hr4329,Abortion,
hr4329,Adoption and foster care,
hr4329,Family planning and birth control,
hr4329,Health facilities and institutions,
hr4329,Sex and reproductive health,
hr4329,,Health
hr433,Air quality,
hr433,California,
hr433,Climate change and greenhouse gases,
hr433,Endangered and threatened species,
hr433,"Environmental assessment, monitoring, research",
hr433,Land use and conservation,
hr433,Oil and gas,
hr433,Water quality,
hr433,Wildlife conservation and habitat protection,
hr433,,Energy
hr4330,,Crime and Law Enforcement
hr4331,Congressional oversight,
hr4331,Government information and archives,
hr4331,Health information and medical records,
hr4331,Intergovernmental relations,
hr4331,Medicaid,
hr4331,Mental health,
hr4331,State and local finance,
hr4331,State and local government operations,
hr4331,,Health
hr4332,,Public Lands and Natural Resources
hr4333,Aviation and airports,
hr4333,First responders and emergency personnel,
hr4333,Intergovernmental relations,
hr4333,State and local government operations,
hr4333,,Transportation and Public Works
hr4334,,Law
hr4335,,Housing and Community Development
hr4336,,Agriculture and Food
hr4337,,Education
hr4338,,Public Lands and Natural Resources
hr4339,Intergovernmental relations,
hr4339,Medicaid,
hr4339,State and local finance,
hr4339,,Health
hr434,,Armed Forces and National Security
hr4340,Civil actions and liability,
hr4340,Consumer affairs,
hr4340,Marketing and advertising,
hr4340,Mental health,
hr4340,Sex and reproductive health,
hr4340,"Sex, gender, sexual orientation discrimination",
hr4340,"Social work, volunteer service, charitable organizations",
hr4340,State and local government operations,
hr4340,,Commerce
hr4341,,International Affairs
hr4342,,"Civil Rights and Liberties, Minority Issues"
hr4343,Congressional oversight,
hr4343,Health care costs and insurance,
hr4343,Organ and tissue donation and transplantation,
hr4343,,Health
hr4344,,Armed Forces and National Security
hr4345,Abortion,
hr4345,Cemeteries and funerals,
hr4345,Census and government statistics,
hr4345,Civil actions and liability,
hr4345,Congressional oversight,
hr4345,"Criminal investigation, prosecution, interrogation",
hr4345,Health information and medical records,
hr4345,Health personnel,
hr4345,,Health
hr4346,,Finance and Financial Sector
hr4347,,Crime and Law Enforcement
hr4348,,Taxation
hr4349,Accounting and auditing,
hr4349,Administrative law and regulatory procedures,
hr4349,Administrative remedies,
hr4349,Advisory bodies,
hr4349,"Alternative dispute resolution, mediation, arbitration",
hr4349,Building construction,
hr4349,Business records,
hr4349,Congressional oversight,
hr4349,Digital media,
hr4349,Disaster relief and insurance,
hr4349,Emergency planning and evacuation,
hr4349,Executive agency funding and structure,
hr4349,Federal Emergency Management Agency (FEMA),
hr4349,Federal-Indian relations,
hr4349,Floods and storm protection,
hr4349,Geography and mapping,
hr4349,"Government employee pay, benefits, personnel management",
hr4349,"Government ethics and transparency, public corruption",
hr4349,Government information and archives,
hr4349,Government lending and loan guarantees,
hr4349,Government studies and investigations,
hr4349,Government trust funds,
hr4349,Housing and community development funding,
hr4349,Housing finance and home ownership,
hr4349,Inflation and prices,
hr4349,Insurance industry and regulation,
hr4349,Intergovernmental relations,
hr4349,Judicial review and appeals,
hr4349,Legal fees and court costs,
hr4349,Licensing and registrations,
hr4349,"Life, casualty, property insurance",
hr4349,Low- and moderate-income housing,
hr4349,Performance measurement,
hr4349,Poverty and welfare assistance,
hr4349,Public contracts and procurement,
hr4349,Public-private cooperation,
hr4349,Residential rehabilitation and home repair,
hr4349,Securities,
hr4349,State and local finance,
hr4349,State and local government operations,
hr4349,Urban and suburban affairs and development,
hr4349,User charges and fees,
hr4349,,Finance and Financial Sector
hr435,,Education
hr4350,Arizona,
hr4350,California,
hr4350,Government trust funds,
hr4350,Idaho,
hr4350,Insects,
hr4350,Nevada,
hr4350,Oregon,
hr4350,"Social work, volunteer service, charitable organizations",
hr4350,Utah,
hr4350,Washington State,
hr4350,Wildlife conservation and habitat protection,
hr4350,,Animals
hr4351,Agricultural practices and innovations,
hr4351,"Environmental assessment, monitoring, research",
hr4351,Farmland,
hr4351,Geography and mapping,
hr4351,Government information and archives,
hr4351,Government lending and loan guarantees,
hr4351,"Internet, web applications, social media",
hr4351,"Navigation, waterways, harbors",
hr4351,Rural conditions and development,
hr4351,Telecommunication rates and fees,
hr4351,,"Science, Technology, Communications"
hr4352,,Immigration
hr4353,Agricultural practices and innovations,
hr4353,Building construction,
hr4353,Congressional oversight,
hr4353,Education of the disadvantaged,
hr4353,Employee hiring,
hr4353,Employment and training programs,
hr4353,Fires,
hr4353,First responders and emergency personnel,
hr4353,"Forests, forestry, trees",
hr4353,Historic sites and heritage areas,
hr4353,Land use and conservation,
hr4353,Livestock,
hr4353,Natural disasters,
hr4353,Outdoor recreation,
hr4353,,Public Lands and Natural Resources
hr4354,,Education
hr4355,,Taxation
hr4356,,Public Lands and Natural Resources
hr4357,,Taxation
hr4358,,Immigration
hr4359,Agricultural education,
hr4359,Agricultural practices and innovations,
hr4359,Agricultural research,
hr4359,Air quality,
hr4359,Alcoholic beverages,
hr4359,California,
hr4359,Fires,
hr4359,"Forests, forestry, trees",
hr4359,Fruit and vegetables,
hr4359,Higher education,
hr4359,,Agriculture and Food
hr436,Foreign aid and international relief,
hr436,International organizations and cooperation,
hr436,Sex and reproductive health,
hr436,United Nations,
hr436,Women's health,
hr436,World health,
hr436,,International Affairs
hr4360,,Finance and Financial Sector
hr4361,,Crime and Law Enforcement
hr4362,Administrative law and regulatory procedures,
hr4362,Aviation and airports,
hr4362,Department of Homeland Security,
hr4362,Department of Transportation,
hr4362,Organ and tissue donation and transplantation,
hr4362,,Transportation and Public Works
hr4363,Cancer,
hr4363,Child health,
hr4363,Congressional oversight,
hr4363,Education programs funding,
hr4363,Employment and training programs,
hr4363,Family planning and birth control,
hr4363,Government information and archives,
hr4363,Government studies and investigations,
hr4363,Health care costs and insurance,
hr4363,Health care coverage and access,
hr4363,Health information and medical records,
hr4363,Health personnel,
hr4363,Health programs administration and funding,
hr4363,Intergovernmental relations,
hr4363,Medicaid,
hr4363,Medical education,
hr4363,Poverty and welfare assistance,
hr4363,Public-private cooperation,
hr4363,Sex and reproductive health,
hr4363,State and local government operations,
hr4363,Women's health,
hr4363,,Health
hr4364,Appropriations,
hr4364,Architect of the Capitol,
hr4364,Budget deficits and national debt,
hr4364,Computer security and identity theft,
hr4364,Computers and information technology,
hr4364,Congressional Budget Office (CBO),
hr4364,Congressional Research Service (CRS),
hr4364,Congressional agencies,
hr4364,Congressional committees,
hr4364,Congressional leadership,
hr4364,Congressional officers and employees,
hr4364,Congressional operations and organization,
hr4364,Disability and health-based discrimination,
hr4364,Electric power generation and transmission,
hr4364,Employment discrimination and employee rights,
hr4364,Government Accountability Office (GAO),
hr4364,Government Publishing Office (GPO),
hr4364,"Government buildings, facilities, and property",
hr4364,"Government employee pay, benefits, personnel management",
hr4364,Government information and archives,
hr4364,Health personnel,
hr4364,Horticulture and plants,
hr4364,House Committee on Appropriations,
hr4364,House of Representatives,
hr4364,Intellectual property,
hr4364,"Internet, web applications, social media",
hr4364,Joint Committee on Taxation,
hr4364,Joint Economic Committee,
hr4364,Law enforcement administration and funding,
hr4364,Lease and rental services,
hr4364,Libraries and archives,
hr4364,Library of Congress,
hr4364,Licensing and registrations,
hr4364,Members of Congress,
hr4364,Motor vehicles,
hr4364,Pornography,
hr4364,Racial and ethnic relations,
hr4364,Religion,
hr4364,"Sex, gender, sexual orientation discrimination",
hr4364,Travel and tourism,
hr4364,U.S. Capitol,
hr4364,,Congress
hr4365,Africa,
hr4365,Appropriations,
hr4365,Arms control and nonproliferation,
hr4365,Asia,
hr4365,Central Intelligence Agency (CIA),
hr4365,Chemical and biological weapons,
hr4365,China,
hr4365,Conflicts and wars,
hr4365,Congressional oversight,
hr4365,Cuba,
hr4365,Defense spending,
hr4365,Department of Defense,
hr4365,Detention of persons,
hr4365,Disaster relief and insurance,
hr4365,Drug trafficking and controlled substances,
hr4365,Due process and equal protection,
hr4365,Egypt,
hr4365,Europe,
hr4365,Executive agency funding and structure,
hr4365,Foreign aid and international relief,
hr4365,Foreign and international corporations,
hr4365,"Government employee pay, benefits, personnel management",
hr4365,Government studies and investigations,
hr4365,Hazardous wastes and toxic substances,
hr4365,"Intelligence activities, surveillance, classified information",
hr4365,Iran,
hr4365,Iraq,
hr4365,Jordan,
hr4365,Judicial procedure and administration,
hr4365,Lebanon,
hr4365,Middle East,
hr4365,"Military assistance, sales, and agreements",
hr4365,Military civil functions,
hr4365,Military command and structure,
hr4365,Military education and training,
hr4365,Military medicine,
hr4365,Military operations and strategy,
hr4365,Military personnel and dependents,
hr4365,"Military procurement, research, weapons development",
hr4365,National Guard and reserves,
hr4365,Nuclear weapons,
hr4365,Public contracts and procurement,
hr4365,"Refugees, asylum, displaced persons",
hr4365,Research administration and funding,
hr4365,Research and development,
hr4365,Russia,
hr4365,Syria,
hr4365,Terrorism,
